title,lyric
Sleep Walking Orchestra,　　外から窓をくぐった光が　床に作った最初の友達　空っぽの手を容易く取られて　連れ出されてから夢の中　幾つかの普通が重なり合うと　時々そこには魔法が宿る　あれは恐らく悪魔だった　あれから醒めない夢の中　籠の中　鳥が鳴いて気付いた　失くしていた事　もう引き返せない事　どうして体は生きたがるの　心に何を求めているの　肺が吸い込んだ　続きの世界　何度でも吐いた　命の証　さあ今　鍵が廻る音　探し物が囁くよ　赤い血が巡る　その全てで　見えない糸を手繰り寄せて　夜と朝から外れたままで　迫られ続ける取捨選択　何をどれだけ差し出したとしても　届かないほどの宝物　取り戻したいのか　憧れたのか　篝火の向こう揺れて消える　そろそろ往こうか　まだここじゃない　どこまで醒めない夢の中　まだ先へ進むというのならば　夜明けまで吹き抜けていく風の唄を　誰が消えても星は廻る　明日が今を過去にしていく　残酷なまでに完璧な世界　どこかでまた躓いた蟻　未だ響く心臓のドラム　それしかないと導くよ　疑いながら　その全てで　信じた足が運んでくれる　どうして体は生きたがるの　心に何を求めているの　性懲りも無く繋いだ世界　何度でも吐いた　命の証　さあ今　鍵が廻る音　探し物が囁くよ　赤い血が巡る　その全てで　見えない糸が解ける場所へ　　　　　　　　　　　　
アカシア,　　透明よりも綺麗な　あの輝きを確かめにいこう　そうやって始まったんだよ　たまに忘れるほど強い理由　冷たい雨に濡れる時は　足音比べ　騒ぎながらいこう　太陽の代わりに唄を　君と僕と世界の声で　いつか君を見つけた時に　君に僕も見つけてもらったんだな　今　目が合えば笑うだけさ　言葉の外側で　ゴールはきっとまだだけど　もう死ぬまでいたい場所にいる　隣で　(隣で)　君の側で　魂がここだよって叫ぶ　泣いたり笑ったりする時　君の命が揺れる時　誰より　(近くで)　特等席で　僕も同じように　息をしていたい　君の一歩は僕より遠い　間違いなく君の凄いところ　足跡は僕の方が多い　間違いなく僕の凄いところ　真っ暗闇が怖い時は　怖さを比べ　ふざけながらいこう　太陽がなくたって歩ける　君と照らす世界が見える　言えない事　聞かないままで　消えない傷の意味　知らないままで　でも　目が合えば笑えるのさ　涙を挟んでも　転んだら手を貸してもらうよりも　優しい言葉選んでもらうよりも　隣で　(隣で)　信じて欲しいんだ　どこまでも一緒にいけると　ついに辿り着くその時　夢の正体に触れる時　必ず　(近くで)　一番側で　君の目に映る　景色にいたい　あの輝きを　君に会えたから見えた　あの輝きを　確かめにいこう　どんな最後が待っていようと　もう離せない手を繋いだよ　隣で　(隣で)　君の側で　魂がここがいいと叫ぶ　そして理由が光る時　僕らを理由が抱きしめる時　誰より　(近くで)　特等席で　僕の見た君を　君に伝えたい　君がいる事を　君に伝えたい　そうやって始まったんだよ　　　　　　　　　　　　
飴玉の唄,　　僕は君を　信じたから　もう裏切られる事はない　だってもし裏切られても　それが解らないから　どうか　君じゃなく　ならないで　悲しい時　嬉しい時　どちらにしても　ほら泣く　困るでしょうって更に泣く　あんまり困らないよ　飴玉あげる　何光年も遙か彼方から　やっと届いた飴玉だよ　そういう１ミリを繋いで　君と出会えた　僕がいるよ　見えない神様　僕らは祈らない　冷えきった君の　その手に触れて　心を見たよ　聞けない事　言えない事　上手に話せなくて泣く　出ない言葉　強い気持ち　時間が足りないと言う　僕は　君と僕の事を　ずっと思い出す事はない　だってさよならしないなら　思い出にならないから　さぁ　ゆっくり下手な　話をしよう　言葉の要らない　話をしよう　何億年も遠い昔から　お互い知っている人がいるよ　そういう１秒を紡いで　僕と生きている　君がいるよ　死なない神様　僕らは祈らない　咳をする君の　熱に触れて　命を知るよ　僕は君を　信じたけど　君が消えたらどうしよう　考えると止まらないよ　何も解らなくなる　いつか君と　離れるなら　いっそ忘れる事にしよう　出来るのかな　無理だろうな　離れたくないな　僕は　君と僕の事を　ずっと思い出す事はない　だって忘れられないなら　思い出に出来ないから　ねぇ　怖いよ　止まらないよ　上手に話せやしないよ　君は僕を　信じてるの　離れたくないな　見えなければ　死ななければ　だけどそんなの君じゃないよ　僕は嫌だよ　君がいいよ　離れたくないな　飴玉食べた　君が笑う　勝てない神様　負けない　祈らない　限りある君の　その最期に触れて　全てに勝つよ　見えない　死なない　僕らの世界で　その手に触れて　熱に触れて　僕も笑うよ　君と笑うよ　僕は君を　信じたから　　　　　　　　　　　　
アリア,　　あの日の些細なため息は　ざわめきに飲まれ　迷子になったよ　ありふれた類だったから　どこに転がったって　その景色の日常　言葉は上手に使ったら　気持ちの側まで　近付けるけれど　同じものにはなれない　抱えているうちに　迷子になったよ　僕らはお揃いの服を着た　別々の呼吸　違う生き物　見つけたら　鏡のように　見つけてくれた事　触ったら　応えるように　触ってくれた事　何も言えなかった　何を言えなかった　曲がって落ちた紙飛行機　見つめ返せなかった　まっすぐな瞳　夕焼けとサイレン　帰り道　もう痛まないけど　治らない傷　あの日の些細なため息は　ざわめきに飲まれ　迷子になったよ　名前を呼んでくれただけで　君と僕だけの　世界になったよ　僕らの間にはさよならが　出会った時から育っていた　笑うから　鏡のように　涙がこぼれたよ　一度でも　心の奥が　繋がった気がしたよ　見つめ返せなかった　忘れたくなかった　笑うから　鏡のように　涙がこぼれたよ　一度でも　心の奥が　繋がった気がしたよ　冷えた手が　離れたあとも　まだずっと熱い事　見つけたら　鏡のように　見つけてくれた事　あの日　君がいた　あの日　君といた　何も言えなかった　忘れたくなかった　　　　　　　　　　　　
アルエ,　　白いブラウス似合う女の子　何故いつも哀しそうなの　窓際に置いたコスモスも　綺麗な顔うなだれてる　青いスカート似合う女の子　自分の場所を知らないの　窓際に置いたコスモスも　花びらの色を知らないの　いつか君はブランコに揺られて　いたいけな目を少し伏せて　哀しい顔で俯むいた　「私は独りで平気なの」　ハートに巻いた包帯を　僕がゆっくり解くから　日なたに続くブリッジを探しておいで　哀しい時は目の前で　大声出して泣いてよ　そんな寒いトコ今すぐ出ておいで　アルエ…　僕の大切なアルエ　一人で見ていた夕焼け　僕も一緒に見ていいかい　僕も一緒に居ていいかい　僕の大切なアルエ　本当はとても寂しいんだろう　僕はいつでも側に居る　僕がこれから側に居る　君は人より少しだけ　不器用なだけの女の子　「嬉しい時どんな風に　笑えばいいか解んない」　ハートに巻いた包帯を　僕がゆっくり解くから　笑顔を写すスライドの準備しといて　嬉しい時は目の前で　両手叩いて笑ってよ　そんな寒いトコ今すぐ出ておいで　アルエ…　ハートに巻いた包帯も　もうすぐ全部解けるよ　怖がらないで素顔を見せてごらんよ　嬉しい時に笑えたら　哀しい時に泣けたら　そんな寒いトコ今すぐ出て　こっちにおいで　ハートに咲いたコスモスが　枯れない様に水を遣ろう　青空の下で揺れていてすごく綺麗さ　ブリッジで撮ったスライドは　君が生きてるって証拠さ　暖かい日溜まりの中で一緒に　手を叩こう　　　　　　　　　　　　
歩く幽霊,　　どんな具合だい　まだやれそうかい　慎重に点検して　考えて　壊れたところ　直せそうなところ　壊れず残った　強いところ　転んだってさ　待たないでさ　小さくなっていった背中　悔しいけど　恥じる事はない　人それぞれのどうのこうのじゃないの　ずっと聞こえるよ足音が　どれほど遠くなろうとも　耳塞いで声を出せ　ここにいるよって　誰に向けて　全く問題無い　平常心さマイライフ　他所は他所　手出し口出し御無用　とか言うわりに　遙か彼方の　芝生の青さまで　気になる　冷静なふりして　黙れないまま　大きくなった鏡の中　棚の上の　真っ青なハート　大きくなったら何かになれないの　誰かを呼んで叫ぶよ　同時に誰かに呼ばれたよ　悲しすぎて笑ったよ　助けてだなんて　言えやしない　頑張ったってさ　頑張ってんのさ　人それぞれのどうのこうの　恥ずかしいくらい　悔しかったから　追わなかったあの日が追いかけてくる　どんな具合だい　もう動けそうかい　その手で触れて　確かめて　直せたところ　駄目だったところ　結局残った　脆弱なハート　もう一度呼んで叫ぶよ　もう一度誰かに呼ばれたよ　耳塞いでも解るよ　ここにいるよって　はっきりと　ずっと聞こえるよ足音が　いつか自分の出した音が　時を越えて届いたよ　追いついてやっと　重なるよ　　　　　　　　　　　　
arrows,　　大長編の探検ごっこ　落書き地図の上　迷子は迷子と出会った　不燃物置き場の前　嫌いな思い出ばっかり詰めた　荷物を抱えて　ずっと動けない自分ごと埋めて　と笑った　似てて当たり前　そういう場所だから　どこから来たのと尋ね合い　すぐに馬鹿馬鹿しくなる　ここに来るまでの経緯なんて　教えてどうする　行きたい場所は全部廻った　泣きそうな雲の下　なんにも無くしてないのに　空っぽの気がした　それでも　大丈夫だって　言ってあげなくちゃ　大丈夫じゃない自分も　動けないしな　あぁ　もう　見つけたものは本物だよ　出会った事は本当だよ　捨てるくらいなら持つからさ　貸してよ　なるほど　これだけあれば　当分お腹減らないな　一緒に　ここから　離れよう　友達増えた探検ごっこ　降りだした雨の下　迷子は迷子と出会って　リュックサックのとりかえっこ　行きたい場所は全部廻って　いい加減に飽きたら　あんなに近い　ずっと遠い　あの雲にのぼろう　ひとつだけ　誤魔化したままだ　お互い気付いてる　何を背負っても　自分のものじゃないなら　どれだけ大事にしても偽物だよ　でも大事な事は本当だよ　預けたものなら要らないさ　迷子のままでも　君さえいれば　きっと僕でいられるさ　一緒に　ここから　離れよう　大長編の探検ごっこ　泣きやんだ雲の下　離れたのに振り返ると　不燃物置き場の前　もう一度やって驚いた　リュックサックのとりかえっこ　素敵な思い出ばっかり詰めた　荷物になってた　今こそちゃんと　言ってあげなくちゃ　さよなら言えない自分に　言わなくちゃ　大丈夫　見つけたものは本物だよ　出会った事は本当だよ　捨てられないから持ってくよ　迷子だった時も　出会った人は生き物だよ　生きてた君は笑ってたよ　迷ってた僕と歩いたよ　偽物じゃない荷物だよ　これだけあれば　きっと僕でいられるさ　一緒に　ここから　離れよう　涙と涙が出会ったら架かる　弓の唄　行きたい場所は全部廻った後で　また会えたら　荷物の無い体ふたつで　その弓を渡ろう　あんなに近い　ずっと遠い　あの雲にのぼろう　　　　　　　　　　　　
アンサー,　　魔法の言葉　覚えている　虹の始まったところ　あの時世界の全てに　一瞬で色が付いた　転ばないように気を付けて　でもどこまでもいかなきゃ　陽射しさえ掴めそうな手が　ひどく冷たかったから　本当の声はいつだって　正しい道を照らしている　なんだって疑っているから　とても強く信じている　心臓が動いている事の　吸って吐いてが続く事の　心がずっと熱い事の　確かな理由を　雲の向こうの銀河のように　どっかで失くした切符のように　生まれる前の歴史のように　君が持っているから　それだけ　わかっている　僕だけ　わかっている　鈍く残った痛みとか　しまってしまった思いとか　滲んだって消えないもので　街は出来ている　魔法の言葉　覚えている　虹の辿り着いたところ　転ばないように気を付けて　でもどこまでもいけるよ　無くしたくないものを　見つけたんだって気付いたら　こんなに嬉しくなって　こんなに怖くなるなんて　想像つかない昨日を越えて　その延長の明日を抱えて　小さな肩　震える今　それでも笑った　迷路の奥のダイヤのような　届かなかった風船のような　気付けなかった流星のような　涙を貰った　だからもう　忘れない　二度ともう　迷わない　心臓が動いている事の　吸って吐いてが続く事の　心がずっと熱い事の　確かな理由が　砂漠の粒のひとつだろうと　消えていく雨のひとつだろうと　貰った 名も知らない花のように　今目の前にあるから　それだけ　わかっている　僕だけ　わかっている　だからもう　離れない　二度ともう　迷わない　　　　　　　　　　　　
R.I.P.,　　そこに君が居なかった事　そこに僕が居なかった事　こんな当然を思うだけで　今がこれ程　ダイナモの音　うねる坂道　憧れのギア　いじった誰か　ザリ釣り帰り　謎のサーチライト　始まり探し　迷ったら夜　不思議が忘れるくらいあった　そのいくつかの魔法はもう解けてしまった　長靴は嫌い　傘は大好き　重ねたらほら　これ秘密基地　自転車置き場　会いに通った　尻尾の生えた内緒の友達　言えない事が今よりもあった　寂しいのは失くしたからじゃない　そこに君が居なかった事　分かち合えない遠い日の事　こんな当然を思うだけで　すぐに景色が滲むよ　体温計で　ズルして早退　下足箱に斜陽　溜め息ひとつ　母の日の朝　父さんとシャベルで　尻尾の付いた友達の墓　悲しい事は宝物になった　君もきっと　そりゃもう沢山持っているでしょう　そこに僕が居なかった事　今は側に居られる事　こんな当然を思うだけで　世界中が輝くよ　同じもの見られたら　それだけでいい　同じ気持ちじゃなくても　それだけでいい　変わっていくのなら　全て見ておきたい　居なくなるのなら　居た事を知りたい　ここに誰が居たかっただろう　それが僕にもなり得る事　こんな当然を思うだけで　眠れない程怖いんだよ　そこに君が居なかった事　そこに僕が居なかった事　こんな当然を思うだけで　今がこれ程愛しいんだよ　怖いんだよ　アドバルーンの下　催事場のヒーロー　光化学スモッグ　手を引かれた野球帽　地球で一番　幸せだと思った　あの日の僕に　君を見せたい　　　　　　　　　　　　
イノセント,　　子供じみていて恥ずかしいよと　馬鹿にしたけど　恐らく自分より　素直で勇敢なだけ　努力はおろか行動さえ　起こせないのに　周りの奴等は　狡いと決めて　恵まれなかったから　才能とチャンス　それさえあったら　自分が置いていかれたら　逆恨みして　あいつは変わったと　欲に目が眩んだと　一人で生きていくもんだと　悟った顔　一人でも平気な　世界しか知らない　頼まれたわけじゃないのに　生活は全部　そんな感じで　誰の声か　どうでもいい　言葉と音符があるだけ　君の側に　語彙が豊富です　造詣が深いです　機械の力です　水掛け論が得意です　あまりよくないあたま　芸術に関しては　見る目がある気がする　あれは駄目であれは良い　趣味のお話　本当はもう解っている　猫に小判なんだって事ぐらい　君がどんな人でもいい　感情と心臓があるなら　君の力になれるように　気付かれなくとも　唄は側に　信じなくていい　手は挙げなくていい　認めなくていい　全て君が正しい　地球は綺麗事　君も僕も誰でも何でも　君の嫌いな　ただのとても　綺麗な事　恵まれていたとしても　才能とチャンス　活かせただろうか　自分を嫌えば許される　それは間違い　自意識が過剰　そもそも嫌えていない　誰の声か　どうでもいい　言葉と音符があるだけ　ただ力になれるように　愛されなくとも　君の側に　君がどんな人でもいい　感情と心臓があるなら　いつか力になれるように　万全を期して　唄は側に　君の側に　　　　　　　　　　　　
